mode;euclidean_distance;routed_distance;weight;preceding_purpose;following_purpose
car_passenger;43538.46153846154;56600.0;1637.6110828684643;home;leisure
car_passenger;58923.07692307692;76600.0;1637.6110828684643;leisure;home
car;19230.76923076923;25000.0;6730.388624209535;home;other
car;20923.076923076922;27200.0;6730.388624209535;other;home
car;8153.846153846153;10600.0;6730.388624209535;home;other
car;8153.846153846153;10600.0;6730.388624209535;other;home
car;19230.76923076923;25000.0;455.94002457555433;home;work
car;12461.538461538461;16200.0;455.94002457555433;work;leisure
car;12307.692307692307;16000.0;455.94002457555433;leisure;home
car_passenger;5692.307692307692;7400.0;1421.3155770966655;home;education
car_passenger;4307.692307692308;5600.0;1421.3155770966655;education;leisure
car_passenger;10923.076923076922;14200.0;1421.3155770966655;leisure;home
car;41384.61538461538;53800.0;710.8184648511948;work;home
car;46153.84615384615;60000.0;710.8184648511948;home;work
car;11538.461538461537;15000.0;1026.964700720232;home;work
car;6692.307692307692;8700.0;1026.964700720232;work;shop
car;11153.846153846154;14500.0;1026.964700720232;shop;home
pt;488846.1538461538;635500.0;712.6552462347006;work;home
pt;2153.846153846154;2800.0;826.3281540155336;home;education
pt;3153.846153846154;4100.0;826.3281540155336;education;home
pt;13769.23076923077;17900.0;1709.9399939026837;home;work
pt;13769.23076923077;17900.0;1709.9399939026837;work;home
pt;11307.692307692307;14700.0;1573.6119748989267;home;education
pt;11307.692307692307;14700.0;1573.6119748989267;education;home
car;9230.76923076923;12000.0;493.37287717797886;home;other
car;10230.76923076923;13300.0;493.37287717797886;other;home
car;16923.076923076922;22000.0;896.3569497793512;home;work
car;20692.30769230769;26900.0;896.3569497793512;work;home
car;11538.461538461537;15000.0;391.2283779637784;home;shop
car;3384.6153846153843;4400.0;391.2283779637784;shop;shop
car;10769.23076923077;14000.0;391.2283779637784;shop;home
car;15384.615384615385;20000.0;728.7449786695779;home;work
car;18384.615384615383;23900.0;728.7449786695779;work;home
car;10230.76923076923;13300.0;728.7449786695779;home;other
car;10230.76923076923;13300.0;728.7449786695779;other;home
car;10230.76923076923;13300.0;728.7449786695779;home;other
car;1384.6153846153845;1800.0;728.7449786695779;other;shop
car;1230.7692307692307;1600.0;728.7449786695779;shop;other
car;10230.76923076923;13300.0;728.7449786695779;other;home
car;10000.0;13000.0;603.8502391661649;home;shop
car;2384.6153846153848;3100.0;603.8502391661649;shop;shop
car;10769.23076923077;14000.0;603.8502391661649;shop;home
car;11538.461538461537;15000.0;170.0141667109361;home;education
car;10769.23076923077;14000.0;170.0141667109361;education;home
car;1538.4615384615383;2000.0;662.4820112232795;home;other
car;384.6153846153846;500.0;662.4820112232795;other;other
car;26923.076923076922;35000.0;662.4820112232795;other;work
car;3230.7692307692305;4200.0;662.4820112232795;work;shop
car;4230.7692307692305;5500.0;662.4820112232795;shop;work
car;27769.23076923077;36100.0;662.4820112232795;work;home
car;30769.23076923077;40000.0;530.3137062765006;home;work
car;25923.076923076922;33700.0;530.3137062765006;work;home
car;6153.846153846153;8000.0;624.0460258396893;home;work
car;1923.076923076923;2500.0;624.0460258396893;work;home
car;7769.230769230769;10100.0;624.0460258396893;home;shop
car;11000.0;14300.0;624.0460258396893;shop;home
car;4615.384615384615;6000.0;228.65309921053876;home;leisure
car;2384.6153846153848;3100.0;228.65309921053876;leisure;shop
car;6000.0;7800.0;228.65309921053876;shop;home
car;6153.846153846153;8000.0;292.8794823237874;home;leisure
car;6769.230769230769;8800.0;292.8794823237874;leisure;home
car_passenger;12230.76923076923;15900.0;1857.6709212518758;home;education
car_passenger;12230.76923076923;15900.0;1857.6709212518758;education;home
car;11538.461538461537;15000.0;219.31700185778865;home;work
car;9923.076923076922;12900.0;219.31700185778865;work;home
car;1153.8461538461538;1500.0;219.31700185778865;home;work
car;3538.4615384615386;4600.0;219.31700185778865;work;home
car;12230.76923076923;15900.0;219.31700185778865;home;shop
car;12230.76923076923;15900.0;219.31700185778865;shop;home
car;5384.615384615385;7000.0;504.82340588477757;home;shop
car;7000.0;9100.0;504.82340588477757;shop;home
car_passenger;615.3846153846154;800.0;953.0186221378052;home;education
car_passenger;2769.230769230769;3600.0;953.0186221378052;education;home
car;36153.846153846156;47000.0;172.63023006614907;leisure;leisure
car;145615.38461538462;189300.0;172.63023006614907;leisure;home
car;19230.76923076923;25000.0;218.07530862615937;home;other
car;11461.538461538461;14900.0;218.07530862615937;other;shop
car;7000.0;9100.0;218.07530862615937;shop;home
walk;2076.9230769230767;2700.0;165.8103360014227;home;leisure
walk;1769.2307692307693;2300.0;165.8103360014227;leisure;home
car;7000.0;9100.0;218.07530862615937;home;leisure
car;7000.0;9100.0;218.07530862615937;leisure;home
car;5384.615384615385;7000.0;278.6154553089356;home;other
car;1538.4615384615383;2000.0;278.6154553089356;other;shop
car;769.2307692307692;1000.0;278.6154553089356;shop;leisure
car;2384.6153846153848;3100.0;278.6154553089356;leisure;leisure
car;4769.2307692307695;6200.0;278.6154553089356;leisure;home
car;22846.153846153844;29700.0;1167.3688470199738;home;work
car;22846.153846153844;29700.0;1167.3688470199738;work;home
car;3846.153846153846;5000.0;1167.3688470199738;home;other
car;4153.846153846153;5400.0;1167.3688470199738;other;home
pt;7538.461538461538;9800.0;237.88597912459616;work;work
pt;0.0;0.0;237.88597912459616;work;home
car;61538.46153846154;80000.0;148.57584229965622;home;education
car;44692.30769230769;58100.0;148.57584229965622;education;home
car;4615.384615384615;6000.0;267.7778508190637;home;work
car;1769.2307692307693;2300.0;267.7778508190637;work;leisure
car;1384.6153846153845;1800.0;267.7778508190637;leisure;work
car;7000.0;9100.0;267.7778508190637;work;home
car;2461.5384615384614;3200.0;267.7778508190637;home;leisure
car;2461.5384615384614;3200.0;267.7778508190637;leisure;home
car;32307.692307692305;42000.0;301.69874419535034;home;work
car;29615.384615384613;38500.0;301.69874419535034;work;home
car_passenger;7769.230769230769;10100.0;567.381257120053;home;home
pt;7923.076923076923;10300.0;339.29140244642207;home;home
car_passenger;6769.230769230769;8800.0;567.381257120053;home;home
car_passenger;7307.692307692308;9500.0;567.381257120053;home;home
car;6153.846153846153;8000.0;252.8766821633058;home;other
car;5692.307692307692;7400.0;252.8766821633058;other;leisure
car;11307.692307692307;14700.0;252.8766821633058;leisure;leisure
car;13769.23076923077;17900.0;252.8766821633058;leisure;leisure
car;9307.692307692307;12100.0;252.8766821633058;leisure;home
car;38461.53846153846;50000.0;676.6392684536688;home;work
car;35153.846153846156;45700.0;676.6392684536688;work;shop
car;5153.846153846153;6700.0;676.6392684536688;shop;home
pt;19230.76923076923;25000.0;1325.906339140768;home;work
pt;19230.76923076923;25000.0;1325.906339140768;work;home
car;19230.76923076923;25000.0;1758.5719493861327;home;work
car;2384.6153846153848;3100.0;1758.5719493861327;work;shop
car;2384.6153846153848;3100.0;1758.5719493861327;shop;work
car;21230.76923076923;27600.0;1758.5719493861327;work;home
car;10538.461538461537;13700.0;1758.5719493861327;home;leisure
car;10538.461538461537;13700.0;1758.5719493861327;leisure;home
car;15384.615384615385;20000.0;429.29003730368424;home;work
car;14230.76923076923;18500.0;429.29003730368424;work;home
car;1846.1538461538462;2400.0;429.29003730368424;home;leisure
car;1923.076923076923;2500.0;429.29003730368424;leisure;home
car;7692.307692307692;10000.0;2412.9872592976963;home;shop
car;5307.692307692308;6900.0;2412.9872592976963;shop;home
car;1384.6153846153845;1800.0;2412.9872592976963;home;leisure
car;1384.6153846153845;1800.0;2412.9872592976963;leisure;home
pt;40769.230769230766;53000.0;864.8348635869635;home;work
pt;40769.230769230766;53000.0;864.8348635869635;work;home
car;1538.4615384615383;2000.0;1210.597589215382;home;shop
car;6538.461538461538;8500.0;1210.597589215382;shop;other
car;6538.461538461538;8500.0;1210.597589215382;other;home
walk;1153.8461538461538;1500.0;851.0708150543793;home;shop
walk;1000.0;1300.0;851.0708150543793;shop;home
pt;11230.76923076923;14600.0;2174.3499629188073;home;education
pt;12153.846153846154;15800.0;2174.3499629188073;education;home
walk;307.6923076923077;400.0;1978.5087812068596;home;work
walk;230.76923076923077;300.0;1978.5087812068596;work;home
walk;692.3076923076923;900.0;3409.6728239024374;home;education
walk;692.3076923076923;900.0;3409.6728239024374;education;home
walk;461.53846153846155;600.0;3409.6728239024374;home;education
walk;692.3076923076923;900.0;3409.6728239024374;education;home
walk;230.76923076923077;300.0;1137.0652820361115;home;leisure
walk;230.76923076923077;300.0;1137.0652820361115;leisure;home
bicycle;34615.38461538462;45000.0;2444.990627018362;home;work
walk;538.4615384615385;700.0;1137.0652820361115;work;leisure
walk;538.4615384615385;700.0;1137.0652820361115;leisure;work
bicycle;28461.53846153846;37000.0;2444.990627018362;work;home
walk;230.76923076923077;300.0;1137.0652820361115;home;leisure
walk;230.76923076923077;300.0;1137.0652820361115;leisure;home
car;1538.4615384615383;2000.0;273.41199003841416;home;shop
car;1384.6153846153845;1800.0;273.41199003841416;shop;home
car;41076.92307692308;53400.0;273.41199003841416;home;leisure
car;1846.1538461538462;2400.0;273.41199003841416;leisure;shop
car;1846.1538461538462;2400.0;273.41199003841416;shop;home
car;41076.92307692308;53400.0;273.41199003841416;home;home
car;3076.9230769230767;4000.0;1310.422041141225;home;shop
car;1384.6153846153845;1800.0;1310.422041141225;shop;home
car;31461.53846153846;40900.0;1310.422041141225;home;other
car;14307.692307692307;18600.0;1310.422041141225;other;shop
car;19384.615384615383;25200.0;1310.422041141225;shop;home
car;2307.6923076923076;3000.0;1070.3258256634888;home;shop
car;7846.153846153846;10200.0;1070.3258256634888;shop;shop
car;2307.6923076923076;3000.0;1070.3258256634888;shop;home
car;1538.4615384615383;2000.0;1120.0747586769148;leisure;shop
car;2307.6923076923076;3000.0;1120.0747586769148;shop;home
car;15153.846153846152;19700.0;1120.0747586769148;home;leisure
car;10923.076923076922;14200.0;1120.0747586769148;leisure;other
car;1769.2307692307693;2300.0;1120.0747586769148;other;home
car;27692.30769230769;36000.0;540.6591673611916;home;other
car;27692.30769230769;36000.0;540.6591673611916;other;home
car;10000.0;13000.0;553.5165589497369;home;work
car;9461.538461538461;12300.0;553.5165589497369;work;shop
car;1230.7692307692307;1600.0;553.5165589497369;shop;home
car_passenger;20923.076923076922;27200.0;727.9806132290853;home;leisure
car_passenger;20923.076923076922;27200.0;727.9806132290853;leisure;home
car;19230.76923076923;25000.0;2419.759798114728;home;work
car;21923.076923076922;28500.0;2419.759798114728;work;home
car;13846.153846153846;18000.0;1345.0357763281572;home;other
car;11769.23076923077;15300.0;1345.0357763281572;other;work
car;11769.23076923077;15300.0;1345.0357763281572;work;other
car;16076.923076923076;20900.0;1345.0357763281572;other;home
walk;615.3846153846154;800.0;402.3399473547568;home;shop
walk;615.3846153846154;800.0;402.3399473547568;shop;home
car;1153.8461538461538;1500.0;529.1612712929336;home;leisure
car;1230.7692307692307;1600.0;529.1612712929336;leisure;home
car;16923.076923076922;22000.0;1146.7805656129779;home;work
car;21846.153846153844;28400.0;1146.7805656129779;work;other
car;7923.076923076923;10300.0;1146.7805656129779;other;other
car;7923.076923076923;10300.0;1146.7805656129779;other;shop
car;11692.307692307691;15200.0;1146.7805656129779;shop;shop
car;29769.23076923077;38700.0;1146.7805656129779;shop;home
walk;461.53846153846155;600.0;2228.350052070756;home;other
walk;230.76923076923077;300.0;2228.350052070756;other;home
car;3076.9230769230767;4000.0;2930.746882560318;home;shop
car;5384.615384615385;7000.0;2930.746882560318;shop;home
car;2384.6153846153848;3100.0;2930.746882560318;home;other
car;2384.6153846153848;3100.0;2930.746882560318;other;other
car;2307.6923076923076;3000.0;2930.746882560318;other;home
car;5846.153846153846;7600.0;2930.746882560318;home;other
car;5846.153846153846;7600.0;2930.746882560318;other;home
car;9230.76923076923;12000.0;922.5648451627288;home;work
car;19692.30769230769;25600.0;922.5648451627288;work;other
car;31153.846153846152;40500.0;922.5648451627288;other;home
car;1461.5384615384614;1900.0;922.5648451627288;home;shop
car;1307.6923076923076;1700.0;922.5648451627288;shop;home
pt;307692.3076923077;400000.0;1121.1685405712758;home;work
pt;0.0;0.0;1121.1685405712758;work;work
